"Marunda;Oil;24-Nov-23;KATI KARTIKA MURNI, PT;POF230099611;1.340;1.340;PKT.062.013034001;Karton Forvita Botol 250ml SN New-1;1.340;08-Dec-23;JADWAL BARU"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230100933;1.000;1.000;PKT.062.054168001;Karton Tropical Refill 1000ml (EXP) New-1;790;11-Dec-23;JADWAL BARU"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230100933;1.000;1.000;PKT.062.054169001;Karton Tropical Refill 2000ml (EXP) New-1;990;11-Dec-23;JADWAL BARU"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230100933;1.000;1.000;PKT.062.054168001;Karton Tropical Refill 1000ml (EXP) New-1;70;13-Dec-23;JADWAL BARU"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230100933;1.000;1.000;PKT.062.054168001;Karton Tropical Refill 1000ml (EXP) New-1;70;15-Dec-23;JADWAL BARU"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230100933;1.000;1.000;PKT.062.054168001;Karton Tropical Refill 1000ml (EXP) New-1;70;17-Dec-23;JADWAL BARU"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230101322;1.000;1.000;PKT.062.014049001;Karton Fraiswell Botol 1000ml New-1;1.000;15-Dec-23;JADWAL BARU"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230101322;5.550;5.550;PKT.062.039141002;Karton S&R Botol PET 5ltx4pcs (AP) New-1;5.550;15-Dec-23"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230101322;2.720;2.720;PKT.062.054174001;Karton Tropical Botol 1000ml Pro Vit A New-1;2.720;15-Dec-23"
"Marunda;Oil;01-Dec-23;KATI KARTIKA MURNI, PT;POF230101322;1.000;1.000;PKT.062.054162001;Karton Tropical Botol 2000ml Pro Vit A New-1;1.000;15-Dec-23"
"Marunda;Oil;01-Dec-23;KATI KARTIKA MURNI, PT;POF230101322;1.000;1.000;PKT.062.054178001;Karton Tropical Botol 250ml SN New-1;1.000;15-Dec-23"
"Marunda;Oil;01-Dec-23;KATI KARTIKA MURNI, PT;POF230101322;1.000;1.000;PKT.062.013192001;Karton Tropical Botol 5000Ml AP New-1;1.000;15-Dec-23"
"Marunda;Oil;01-Dec-23;KATI KARTIKA MURNI, PT;POF230101322;2.380;2.380;PKT.062.054180001;Karton Tropical Botol 500ml Pro Vit A New-1;2.380;15-Dec-23"
"Marunda;Oil;01-Dec-23;KATI KARTIKA MURNI, PT;POF230101322;1.000;1.000;PKT.062.054168001;Karton Tropical Refill 1000ml (EXP) New-1;1.000;15-Dec-23"
"Marunda;Oil;01-Dec-23;KATI KARTIKA MURNI, PT;POF230101322;1.820;1.820;PKT.062.054169001;Karton Tropical Refill 2000ml (EXP) New-1;1.820;15-Dec-23"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230101633;6.230;6.230;PKT.062.015060000;Karton GOYA Botol 250mlx48pcs (EXP/TAM);6.230;20-Dec-23"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230102955;7.920;7.920;PKT.062.054174001;Karton Tropical Botol 1000ml Pro Vit A New-1;7.920;20-Dec-23"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230102955;14.800;14.800;PKT.062.054180001;Karton Tropical Botol 500ml Pro Vit A New-1;7.400;21-Dec-23"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230102933;5.770;5.770;PKT.062.054187001;Karton Tropical Jerry Can 5000ml Pro Vit A New-1;3.000;21-Dec-23"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230102934;7.400;7.400;PKT.062.054180001;Karton Tropical Botol 500ml Pro Vit A New-1;7.400;28-Dec-23"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230102935;2.770;2.770;PKT.062.054187001;Karton Tropical Jerry Can 5000ml Pro Vit A New-1;2.770;28-Dec-23"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230102988;1.000;1.000;PKT.062.013033001;Karton Forvita Botol 1000ml New-1;1.000;04-Jan-24"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230102966;6.500;6.500;PKT.062.039141002;Karton S&R Botol PET 5ltx4pcs (AP) New-1;6.500;04-Jan-24"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230102733;6.530;6.530;PKT.062.015060000;Karton GOYA Botol 250mlx48pcs (EXP/TAM);6.530;05-Jan-24"
"Marunda;Oil;08-Dec-23;KATI KARTIKA MURNI, PT;POF230102988;1.000;1.000;PKT.062.013036001;Karton Forvita Botol 500ml New-1;1.000;05-Jan-24"
